molecule_chembl_id,standard_type,standard_units,IC50,type,units,value,canonical_smiles,pIC50
CHEMBL1242290,IC50,nM,3020.0,IC50,uM,3.02,COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC,5.519993057042849
CHEMBL1242379,IC50,nM,6340.0,IC50,uM,6.34,COc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1OC,5.1979107421182675
CHEMBL1242661,IC50,nM,21000.0,IC50,uM,21.0,CCOc1ccc2cc(-c3nn(C)c4ncnc(N)c34)ccc2c1,4.6777807052660805
CHEMBL1242662,IC50,nM,88.0,IC50,uM,0.088,CC(C)n1nc(-c2ccc3cc(O)ccc3c2)c2c(N)ncnc21,7.055517327849832
CHEMBL1242663,IC50,nM,100000.0,IC50,uM,100.0,CC(C)n1nc(-c2cc3ccccc3nc2Cl)c2c(N)ncnc21,4.0
CHEMBL1242754,IC50,nM,1000.0,IC50,uM,1.0,CC(C)n1nc(-c2cnc3ccccc3c2)c2c(N)ncnc21,6.0
CHEMBL1242755,IC50,nM,540.0,IC50,uM,0.54,Nc1ncnc2c1c(-c1cnc3ccccc3c1)nn2C1CCCC1,6.267606240177032
CHEMBL1242756,IC50,nM,34000.0,IC50,uM,34.0,Cn1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21,4.468521082957745
CHEMBL1241681,IC50,nM,2100.0,IC50,uM,2.1,Nc1ncnc2c1c(-c1ccc3ncccc3c1)nn2C1CCCC1,5.6777807052660805
CHEMBL1241682,IC50,nM,100000.0,IC50,uM,100.0,Cc1ccc2cc(-c3nn(C(C)C)c4ncnc(N)c34)ccc2n1,4.0
CHEMBL1241683,IC50,nM,100000.0,IC50,uM,100.0,CC(C)n1nc(-c2ccc3nc(Cl)ccc3c2)c2c(N)ncnc21,4.0
CHEMBL1241774,IC50,nM,18000.0,IC50,uM,18.0,CC(C)n1nc(-c2ccc3nccnc3c2)c2c(N)ncnc21,4.7447274948966935
CHEMBL1241775,IC50,nM,70000.0,IC50,uM,70.0,CC(C)n1nc(-c2cnc3nccnc3c2)c2c(N)ncnc21,4.154901959985743
CHEMBL1241776,IC50,nM,7400.0,IC50,uM,7.4,CC(C)n1nc(-c2ccc3nc[nH]c(=O)c3c2)c2c(N)ncnc21,5.130768280269024
CHEMBL1241863,IC50,nM,6700.0,IC50,uM,6.7,CC(C)n1nc(-c2ccc3[nH]c(=O)ccc3c2)c2c(N)ncnc21,5.173925197299174
