molecule_chembl_id,standard_type,standard_units,IC50,type,units,value,canonical_smiles,pIC50,ROMol,is_pains,has_unwanted_substructure
CHEMBL4588202,IC50,nM,649.0,IC50,nM,649.0,CCC(=O)N1CCC[C@@H](n2nc(-c3cn(-c4ccc(C(C)=O)cc4)nn3)c3c(N)ncnc32)C1,6.187755303199631,<rdkit.Chem.rdchem.Mol object at 0x000001D6FB259D60>,False,False
CHEMBL4646415,IC50,nM,145.0,IC50,uM,0.145,CN(CCO)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6.838631997765025,<rdkit.Chem.rdchem.Mol object at 0x000001D6FB259F20>,False,False
CHEMBL4645726,IC50,nM,1800.0,IC50,uM,1.8,N#CC1=C(N)N(c2nnc3c4ccccc4nc(Sc4ccc(Br)cc4)n23)C(=O)C1,5.7447274948966935,<rdkit.Chem.rdchem.Mol object at 0x000001D69563E3C0>,False,False
CHEMBL4647325,IC50,nM,690.0,IC50,uM,0.69,Nc1nc(Nc2nnc3c4ccccc4nc(Sc4ccc(Br)cc4)n23)cs1,6.161150909262744,<rdkit.Chem.rdchem.Mol object at 0x000001D69563E4A0>,False,False
CHEMBL4637355,IC50,nM,3910.0,IC50,uM,3.91,CCN1CCN(CC(=O)Nc2nnc3c4ccccc4nc(Sc4ccc(Br)cc4)n23)CC1,5.407823242604133,<rdkit.Chem.rdchem.Mol object at 0x000001D69563E510>,False,False
CHEMBL4635625,IC50,nM,4110.0,IC50,nM,4110.0,C[C@@H]1[C@@H]2CN(c3nc(Nc4cnn(C)c4)ncc3F)C[C@]12NC(=O)[C@@H]1CC1(F)F,5.386158178123931,<rdkit.Chem.rdchem.Mol object at 0x000001D69563E5F0>,False,False
CHEMBL4642177,IC50,nM,208.0,IC50,nM,208.0,CCC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4c(CCO)cccc34)n2)c(OC)cc1F,6.681936665037238,<rdkit.Chem.rdchem.Mol object at 0x000001D69563E740>,False,False
CHEMBL4640686,IC50,nM,170.1,IC50,nM,170.1,CCC(=O)Nc1cc(Nc2nccc(-c3cn(CCO)c4ccccc34)n2)c(OC)cc1F,6.769295686387431,<rdkit.Chem.rdchem.Mol object at 0x000001D69563E7B0>,False,False
CHEMBL4639459,IC50,nM,126.8,IC50,nM,126.8,CCC(=O)Nc1cc(Nc2nccc(-c3cn(CCCO)c4ccccc34)n2)c(OC)cc1F,6.896880746454286,<rdkit.Chem.rdchem.Mol object at 0x000001D69563E820>,False,False
CHEMBL4641096,IC50,nM,169.3,IC50,nM,169.3,CCC(=O)Nc1cc(Nc2nccc(-c3cn(CCCO)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,6.771343041891065,<rdkit.Chem.rdchem.Mol object at 0x000001D69563E890>,False,False
CHEMBL4649261,IC50,nM,156.6,IC50,nM,156.6,COc1cc(N(C)CCN(C)C)ccc1Nc1nccc(-c2cn(CCCO)c3ccccc23)n1,6.805208242278075,<rdkit.Chem.rdchem.Mol object at 0x000001D69563E900>,False,False
CHEMBL4647073,IC50,nM,142.0,IC50,nM,142.0,CCC(=O)Nc1cc(Nc2nccc(-c3cn(CCCO)c4ccc(F)cc34)n2)c(OC)cc1F,6.847711655616943,<rdkit.Chem.rdchem.Mol object at 0x000001D69563E970>,False,False
CHEMBL4745877,IC50,nM,2520.0,IC50,nM,2520.0,COc1ncc(-c2ccc3ncnc(Nc4cnn(CCO)c4)c3c2)cc1NS(C)(=O)=O,5.598599459218456,<rdkit.Chem.rdchem.Mol object at 0x000001D69563F120>,False,False
CHEMBL4787698,IC50,nM,144.0,IC50,uM,0.144,CC(C)(C)c1cc(NC(=O)CN2CCOCC2)no1,6.841637507904751,<rdkit.Chem.rdchem.Mol object at 0x000001D69563F510>,False,False
CHEMBL1619395,IC50,nM,81.0,IC50,uM,0.081,CCN1CCN(CC(=O)Nc2cc(C)on2)CC1,7.091514981121351,<rdkit.Chem.rdchem.Mol object at 0x000001D69563F580>,False,False
CHEMBL4740108,IC50,nM,64.0,IC50,uM,0.064,Cc1cc(NC(=O)CN2CCN(c3ccccc3)CC2)no1,7.1938200260161125,<rdkit.Chem.rdchem.Mol object at 0x000001D69563F5F0>,False,False
CHEMBL4755651,IC50,nM,66.0,IC50,uM,0.066,CC(C)(C)c1cc(NC(=O)CN2CCN(c3ccccc3)CC2)no1,7.180456064458132,<rdkit.Chem.rdchem.Mol object at 0x000001D69563F660>,False,False
CHEMBL4755988,IC50,nM,81.0,IC50,uM,0.081,Cc1cc(NC2=NC(=O)CS2)no1,7.091514981121351,<rdkit.Chem.rdchem.Mol object at 0x000001D69563F6D0>,False,False
CHEMBL4751085,IC50,nM,150.0,IC50,uM,0.15,CC(C)(C)c1cc(NC2=NC(=O)CS2)no1,6.823908740944319,<rdkit.Chem.rdchem.Mol object at 0x000001D69563F740>,False,False
CHEMBL4792279,IC50,nM,186.0,IC50,nM,186.0,Cc1nn(-c2ccc(F)cc2)c2ncnc(Nc3ccc(F)c(Cl)c3)c12,6.730487055782084,<rdkit.Chem.rdchem.Mol object at 0x000001D69563F890>,False,False
CHEMBL4793639,IC50,nM,617.33,IC50,nM,617.33,COc1ccc(C2N=C(C(N)=O)c3ncn(-c4ccc(F)cc4)c3N2)cc1OC,6.20948261738268,<rdkit.Chem.rdchem.Mol object at 0x000001D69563FAC0>,False,False
